entry_time_utc,jst_hour,jst_dow,atr_pct,adx,volume_ratio_20,ret_4bar_pct,ret_16bar_pct,btc_ret_4bar_pct,btc_ret_16bar_pct,direction,exit_reason,pnl_pct,scaled_pnl_pct,win,holding_bars
2025-07-22T22:30:00Z,7,2,0.4161,10.29,0.564,0.975,0.165,0.471,0.77,LONG,TAKE_PROFIT,2.1294,2.1294,1,6
2025-07-23T00:45:00Z,9,2,0.6563,18.5,0.485,-1.088,1.596,-0.542,-0.16,LONG,STOP_LOSS,-1.2296,-1.2296,0,13
2025-07-24T01:00:00Z,10,3,0.5649,24.58,0.127,0.599,1.64,-0.151,0.375,LONG,STOP_LOSS,-1.2296,-1.2296,0,3
2025-07-24T02:00:00Z,11,3,0.488,20.3,0.65,0.427,1.171,0.079,0.282,LONG,STOP_LOSS,-1.1356,-1.1356,0,10
2025-07-25T06:15:00Z,15,4,0.7169,45.17,1.085,-0.836,-3.125,-0.397,-1.875,SHORT,STOP_LOSS,-1.2304,-1.2304,0,9
2025-07-26T15:15:00Z,0,6,0.3502,20.74,0.711,-0.108,-0.458,-0.128,-0.075,SHORT,STOP_LOSS,-1.1926,-1.1926,0,96
2025-07-28T12:30:00Z,21,0,0.3649,19.52,0.231,0.834,0.54,0.07,-0.0,LONG,STOP_LOSS,-0.8903,-0.8903,0,4
2025-07-29T02:30:00Z,11,1,0.6699,36.28,0.394,-1.002,-0.648,-0.35,-0.022,SHORT,STOP_LOSS,-1.2304,-1.2304,0,3
2025-07-30T00:30:00Z,9,2,0.3004,14.8,0.477,-1.227,-0.597,-0.335,0.124,SHORT,STOP_LOSS,-0.6905,-0.6905,0,9
2025-07-31T17:30:00Z,2,4,0.4613,25.38,2.499,-0.87,0.183,-0.488,-0.122,SHORT,TAKE_PROFIT,2.1306,2.1306,1,17
2025-08-01T04:15:00Z,13,4,0.6032,37.21,0.519,-1.475,-0.822,-0.436,-0.182,SHORT,TAKE_PROFIT,2.1306,2.1306,1,16
2025-08-02T06:15:00Z,15,5,0.2806,19.73,2.789,-1.332,-1.165,-0.417,0.027,SHORT,TAKE_PROFIT,1.2737,1.2737,1,38
2025-08-02T16:00:00Z,1,6,0.4509,19.2,0.52,-0.878,-1.518,-0.444,-0.804,SHORT,TAKE_PROFIT,2.1306,2.1306,1,10
2025-08-02T22:30:00Z,7,6,0.4902,24.75,5.783,-0.141,1.601,-0.062,0.231,SHORT,STOP_LOSS,-1.1557,-1.1557,0,11
2025-08-03T22:30:00Z,7,0,0.3316,13.42,0.221,-0.394,-0.319,-0.129,-0.213,SHORT,STOP_LOSS,-1.2304,-1.2304,0,3
2025-08-05T04:45:00Z,13,1,0.3354,15.28,1.568,-0.397,-1.233,-0.044,-0.355,SHORT,STOP_LOSS,-1.2304,-1.2304,0,20
2025-08-06T01:00:00Z,10,2,0.3337,25.75,0.242,-0.376,0.375,-0.119,0.118,SHORT,STOP_LOSS,-0.9278,-0.9278,0,44
2025-08-07T06:15:00Z,15,3,0.2986,14.45,2.312,0.878,0.609,-0.058,-0.45,LONG,TAKE_PROFIT,2.1294,2.1294,1,16
2025-08-07T15:45:00Z,0,4,0.4005,24.45,0.579,0.04,-0.987,0.225,0.255,LONG,STOP_LOSS,-0.8172,-0.8172,0,3
2025-08-07T20:00:00Z,5,4,0.4134,26.18,0.218,0.747,0.547,0.316,0.335,LONG,TAKE_PROFIT,2.1294,2.1294,1,12
2025-08-08T00:15:00Z,9,4,0.4183,37.28,1.021,0.261,1.24,-0.008,-0.174,LONG,TAKE_PROFIT,2.1294,2.1294,1,54
2025-08-08T14:15:00Z,23,4,0.4862,21.74,1.409,0.361,0.631,0.006,0.233,LONG,STOP_LOSS,-1.0098,-1.0098,0,4
2025-08-08T18:30:00Z,3,5,0.5164,19.21,0.008,-0.019,0.562,-0.157,-0.246,LONG,TAKE_PROFIT,2.1294,2.1294,1,46
2025-08-09T12:30:00Z,21,5,0.4072,39.51,0.73,0.071,0.004,-0.165,0.026,LONG,STOP_LOSS,-0.9151,-0.9151,0,6
2025-08-09T17:45:00Z,2,6,0.3615,20.15,0.365,0.944,0.979,0.019,-0.259,LONG,TAKE_PROFIT,1.9889,1.9889,1,37
2025-08-10T04:00:00Z,13,6,0.5867,29.5,0.393,0.327,2.403,0.654,1.739,LONG,STOP_LOSS,-1.2296,-1.2296,0,6
2025-08-10T15:00:00Z,0,0,0.4651,19.24,1.324,1.131,1.417,0.266,0.737,LONG,TAKE_PROFIT,2.1294,2.1294,1,38
2025-08-11T03:30:00Z,12,0,0.4751,17.05,0.603,-0.399,0.603,-0.265,1.689,LONG,STOP_LOSS,-1.2296,-1.2296,0,18
2025-08-12T13:00:00Z,22,1,0.521,14.89,2.18,1.03,0.382,0.357,0.176,LONG,TAKE_PROFIT,2.1294,2.1294,1,12
2025-08-13T01:30:00Z,10,2,0.6287,50.93,0.449,-0.098,0.189,-0.199,-0.393,LONG,TAKE_PROFIT,2.1294,2.1294,1,6
2025-08-13T07:30:00Z,16,2,0.5645,26.77,0.045,1.0,-1.253,-0.049,-0.426,LONG,TAKE_PROFIT,1.8725,1.8725,1,8
2025-08-13T09:45:00Z,18,2,0.6132,33.25,1.02,1.972,2.471,0.037,0.327,LONG,STOP_LOSS,-1.2296,-1.2296,0,19
2025-08-13T19:30:00Z,4,3,0.544,22.87,0.195,0.725,2.028,0.726,1.046,LONG,TAKE_PROFIT,2.1294,2.1294,1,30
2025-08-14T04:15:00Z,13,3,0.774,41.53,1.273,0.337,2.442,-0.288,-0.965,LONG,STOP_LOSS,-1.2296,-1.2296,0,8
2025-08-15T02:30:00Z,11,4,0.3845,12.97,0.013,-0.349,0.813,0.223,0.288,LONG,STOP_LOSS,-1.0186,-1.0186,0,39
2025-08-16T02:45:00Z,11,5,0.5348,25.2,0.149,0.486,1.002,0.123,0.412,LONG,STOP_LOSS,-1.2296,-1.2296,0,37
2025-08-17T01:30:00Z,10,6,0.2573,11.34,0.427,-0.094,-0.442,0.064,-0.058,SHORT,STOP_LOSS,-1.1786,-1.1786,0,5
2025-08-18T14:00:00Z,23,0,0.4683,27.31,0.229,-0.553,0.288,-0.324,0.339,SHORT,STOP_LOSS,-1.2304,-1.2304,0,9
2025-08-19T03:15:00Z,12,1,0.5637,16.12,0.448,-0.697,-1.756,-0.383,-0.86,SHORT,TAKE_PROFIT,2.1306,2.1306,1,4
2025-08-19T07:30:00Z,16,1,0.4107,23.87,0.016,-0.376,-0.109,-0.101,-0.278,SHORT,STOP_LOSS,-0.9409,-0.9409,0,7
2025-08-20T00:00:00Z,9,2,0.3879,19.15,0.29,-0.853,0.79,0.11,0.16,SHORT,STOP_LOSS,-1.2304,-1.2304,0,3
2025-08-21T08:45:00Z,17,3,0.2804,21.51,0.323,-0.465,-0.979,-0.264,-0.093,SHORT,TAKE_PROFIT,1.6929,1.6929,1,29
2025-08-21T20:00:00Z,5,4,0.3484,24.97,2.379,-1.28,-1.459,-0.189,-0.445,SHORT,STOP_LOSS,-1.2304,-1.2304,0,22
2025-08-23T04:00:00Z,13,5,0.6062,28.04,0.155,0.571,-0.348,-0.152,-0.844,LONG,TAKE_PROFIT,2.1294,2.1294,1,3
2025-08-23T07:45:00Z,16,5,0.7852,37.66,0.018,-0.584,3.272,0.047,0.198,LONG,STOP_LOSS,-1.2296,-1.2296,0,3
2025-08-23T09:45:00Z,18,5,0.5387,24.07,0.112,0.451,-1.219,-0.061,-0.245,LONG,STOP_LOSS,-1.1005,-1.1005,0,5
2025-08-24T00:00:00Z,9,6,0.2766,12.48,4.027,0.772,0.33,0.105,0.257,LONG,TAKE_PROFIT,1.2167,1.2167,1,3
2025-08-24T01:30:00Z,10,6,0.4595,19.43,1.712,0.056,1.634,0.007,0.412,LONG,TAKE_PROFIT,2.1294,2.1294,1,4
2025-08-24T03:00:00Z,12,6,0.7526,30.92,0.676,-0.238,2.28,-0.513,-0.246,LONG,STOP_LOSS,-1.2296,-1.2296,0,30
2025-08-24T15:45:00Z,0,0,0.5744,25.83,0.17,-0.557,0.513,-0.105,-0.277,LONG,TAKE_PROFIT,2.1294,2.1294,1,12
2025-08-26T08:30:00Z,17,1,0.4901,21.32,1.708,-0.372,0.133,-0.266,-0.059,LONG,STOP_LOSS,-0.9717,-0.9717,0,6
2025-08-26T13:15:00Z,22,1,0.6206,20.1,0.031,1.188,0.204,0.202,-0.422,LONG,TAKE_PROFIT,2.1294,2.1294,1,19
2025-08-26T22:00:00Z,7,2,0.4104,43.71,2.052,0.211,1.744,0.753,1.582,LONG,STOP_LOSS,-0.9781,-0.9781,0,12
2025-08-27T01:45:00Z,10,2,0.5284,28.51,3.935,0.791,-0.045,0.047,-0.115,LONG,TAKE_PROFIT,1.5953,1.5953,1,3
2025-08-27T06:00:00Z,15,2,0.686,39.46,1.208,-0.696,3.496,-0.442,0.137,LONG,TAKE_PROFIT,2.1294,2.1294,1,35
2025-08-27T15:00:00Z,0,3,0.6675,38.85,1.26,1.992,1.747,0.185,0.501,LONG,STOP_LOSS,-1.2296,-1.2296,0,21
2025-08-28T03:00:00Z,12,3,0.7381,17.69,0.538,0.769,1.251,0.229,0.481,LONG,TAKE_PROFIT,2.1294,2.1294,1,8
2025-08-28T06:30:00Z,15,3,0.5799,25.67,0.406,-0.177,1.835,0.308,1.362,LONG,TAKE_PROFIT,2.1294,2.1294,1,7
2025-08-28T09:00:00Z,18,3,0.7013,33.28,2.829,-1.509,0.658,-0.297,0.153,LONG,STOP_LOSS,-1.2296,-1.2296,0,27
2025-08-28T21:00:00Z,6,4,0.5047,11.89,1.466,1.316,2.693,0.063,-0.032,LONG,STOP_LOSS,-1.2296,-1.2296,0,41
2025-08-30T03:45:00Z,12,5,0.6058,17.67,1.051,1.274,1.098,0.559,0.155,LONG,STOP_LOSS,-1.2296,-1.2296,0,21
2025-08-31T00:00:00Z,9,6,0.3051,21.0,0.991,0.69,1.373,0.196,0.101,LONG,STOP_LOSS,-1.2296,-1.2296,0,95
2025-09-01T15:30:00Z,0,1,0.4585,12.62,0.106,-0.428,0.387,-0.296,0.251,SHORT,TAKE_PROFIT,1.9849,1.9849,1,23
2025-09-03T04:00:00Z,13,2,0.5764,34.72,1.082,-0.831,-0.24,-0.142,-0.316,LONG,STOP_LOSS,-1.2296,-1.2296,0,8
2025-09-03T07:45:00Z,16,2,0.3249,18.17,0.884,0.209,-0.087,0.407,-0.099,LONG,TAKE_PROFIT,1.4339,1.4339,1,25
2025-09-03T14:45:00Z,23,2,0.5708,21.56,3.092,-0.003,0.807,0.384,0.384,LONG,STOP_LOSS,-1.2296,-1.2296,0,8
2025-09-03T18:15:00Z,3,3,0.3369,12.85,0.009,-0.077,-0.294,-0.224,0.496,LONG,STOP_LOSS,-0.9316,-0.9316,0,2
2025-09-04T00:15:00Z,9,3,0.2946,14.8,0.925,0.796,1.124,0.19,-0.155,LONG,STOP_LOSS,-1.2296,-1.2296,0,9
2025-09-05T05:15:00Z,14,4,0.2689,13.59,0.28,0.185,1.179,0.254,0.663,LONG,TAKE_PROFIT,1.8335,1.8335,1,10
2025-09-05T08:15:00Z,17,4,0.4088,18.94,7.791,0.13,1.831,-0.096,1.199,LONG,STOP_LOSS,-1.2296,-1.2296,0,6
2025-09-05T10:15:00Z,19,4,0.4792,14.51,0.442,0.734,1.074,0.044,0.563,LONG,STOP_LOSS,-0.9779,-0.9779,0,10
2025-09-06T16:00:00Z,1,6,0.2728,24.43,0.379,0.162,-0.251,-0.321,-0.472,SHORT,STOP_LOSS,-0.823,-0.823,0,40
2025-09-08T14:45:00Z,23,0,0.5181,45.92,0.093,1.036,0.107,0.655,0.508,LONG,STOP_LOSS,-0.9201,-0.9201,0,38
2025-09-09T04:45:00Z,13,1,0.467,20.33,0.168,-0.19,1.02,0.121,0.148,LONG,TAKE_PROFIT,2.1294,2.1294,1,12
